content,qr_type,label
"BEGIN:VCARD
FN:Student 41
EMAIL:student41@university.edu.np
URL:https://university.edu.np/profile/41
END:VCARD",contact,0
"SMSTO:DELIVERY:Congratulations, you won a cash prize. Claim reward immediately: http://account-verify-now.test/verify/5762",sms,1
WIFI:T:WPA;S:CampusGuest37;P:StrongPass372026;;,wifi,0
https://google-login.example.net/pay-fee/2415?session=60905,url,1
WIFI:T:WPA;S:CampusGuest65;P:StrongPass652026;;,wifi,0
mailto:reward@google-login.example.net?subject=Prize claim pending&body=Refund failed. Enter card details to receive money,email,1
https://delivery-fee-pay.test/pay-fee/2983?session=91681,url,1
https://coursera.org/help/1050,url,0
https://wikipedia.org/help/1352,url,0
"BEGIN:VCARD
FN:Student 9
EMAIL:student9@university.edu.np
URL:https://university.edu.np/profile/9
END:VCARD",contact,0
https://nepalbank.com.np/help/1018,url,0
https://store-receipts.example/notice/1192,url,0
mailto:noreply@library.example?subject=Password changed successfully&body=Class starts tomorrow. Please bring your notebook.,email,0
mailto:security@secure-login-check.test?subject=Final warning: confirm your password&body=Customs fee pending. Pay now to release your parcel,email,1
SMSTO:DELIVERY:Security alert. Update password within 24 hours: http://bank-support-update.test/verify/5122,sms,1
https://delivery-fee-pay.test/verify-account/2563?session=93928,url,1
SMSTO:BANKALERT:Security alert. Update password within 24 hours: http://account-verify-now.test/verify/5379,sms,1
http://bit.ly/login-update105,url,1
"BEGIN:VCARD
FN:Student 89
EMAIL:student89@university.edu.np
URL:https://university.edu.np/profile/89
END:VCARD",contact,0
http://192.168.45.12/login-update/2486?session=84264,url,1
https://github.com/course/1386,url,0
SMSTO:+977-9864127552:The invoice has been received and marked paid.,sms,0
https://khanacademy.org/course/1245,url,0
WIFI:T:WPA;S:CampusGuest107;P:StrongPass1072026;;,wifi,0
SMSTO:+977-9824694269:Your delivery is scheduled for tomorrow afternoon.,sms,0
http://delivery-fee-pay.test/wallet-kyc/2669?session=94182,url,1
mailto:verify@esewa-bonus-claim.test?subject=Final warning: confirm your password&body=Security alert. Update password within 24 hours,email,1
http://bit.ly/wallet-kyc539,url,1
SMSTO:+977-9815971136:Class starts tomorrow. Please bring your notebook.,sms,0
mailto:support@khalti-refund.test?subject=Refund failed: update card now&body=Customs fee pending. Pay now to release your parcel,email,1
mailto:security@wallet-kyc-alert.test?subject=Prize claim pending&body=Security alert. Update password within 24 hours,email,1
SMSTO:DELIVERY:Customs fee pending. Pay now to release your parcel: http://account-verify-now.test/verify/5240,sms,1
https://np-prize-claim.test/verify-account/2073?session=67983,url,1
https://company-intranet.example/help/1739,url,0
WIFI:T:WPA;S:CampusGuest117;P:StrongPass1172026;;,wifi,0
"BEGIN:VCARD
FN:Student 73
EMAIL:student73@university.edu.np
URL:https://university.edu.np/profile/73
END:VCARD",contact,0
"mailto:verify@esewa-bonus-claim.test?subject=Prize claim pending&body=Congratulations, you won a cash prize. Claim reward immediately",email,1
https://company-intranet.example/docs/1117,url,0
mailto:admin@coursera.org?subject=Appointment reminder&body=Thank you for your payment. No further action is required.,email,0
http://delivery-fee-pay.test/login-update/2636?session=76046,url,1
mailto:reward@paypal-security.example.ru?subject=Urgent account verification required&body=Refund failed. Enter card details to receive money,email,1
SMSTO:+977-9800000000:KYC expired. Confirm wallet PIN and OTP to continue: http://secure-login-check.test/verify/5996,sms,1
"SMSTO:BANKALERT:Congratulations, you won a cash prize. Claim reward immediately: http://10.8.4.22/verify/5396",sms,1
https://secure-login-check.test/pay-fee/2149?session=64592,url,1
WIFI:T:WPA;S:CampusGuest8;P:StrongPass82026;;,wifi,0
https://nrb.org.np/profile/1902,url,0
"BEGIN:VCARD
FN:Student 115
EMAIL:student115@university.edu.np
URL:https://university.edu.np/profile/115
END:VCARD",contact,0
https://bank-support-update.test/login-update/2295?session=42447,url,1
mailto:noreply@khanacademy.org?subject=Password changed successfully&body=Your appointment is confirmed for Friday at 10:00 AM.,email,0
"BEGIN:VCARD
FN:Student 67
EMAIL:student67@university.edu.np
URL:https://university.edu.np/profile/67
END:VCARD",contact,0
SMSTO:+977-9863394430:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
SMSTO:WALLET:KYC expired. Confirm wallet PIN and OTP to continue: http://wallet-kyc-alert.test/verify/5565,sms,1
SMSTO:+977-9819492312:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
mailto:support@wikipedia.org?subject=Receipt for your recent purchase&body=Your delivery is scheduled for tomorrow afternoon.,email,0
SMSTO:BANKALERT:Customs fee pending. Pay now to release your parcel: http://paypal-security.example.ru/verify/5060,sms,1
SMSTO:+977-9862627379:Your OTP is 123456. Do not share it with anyone.,sms,0
mailto:support@google-login.example.net?subject=Final warning: confirm your password&body=URGENT: your bank account is blocked. Verify login now,email,1
https://np-prize-claim.test/pay-fee/2517?session=94245,url,1
WIFI:T:WPA;S:CampusGuest61;P:StrongPass612026;;,wifi,0
SMSTO:+977-9800000000:URGENT: your bank account is blocked. Verify login now: http://khalti-refund.test/verify/5384,sms,1
https://docs.djangoproject.com/status/1079,url,0
mailto:noreply@company-intranet.example?subject=Appointment reminder&body=Your OTP is 123456. Do not share it with anyone.,email,0
"BEGIN:VCARD
FN:Student 17
EMAIL:student17@university.edu.np
URL:https://university.edu.np/profile/17
END:VCARD",contact,0
"BEGIN:VCARD
FN:Student 82
EMAIL:student82@university.edu.np
URL:https://university.edu.np/profile/82
END:VCARD",contact,0
mailto:noreply@openai.com?subject=Receipt for your recent purchase&body=Your delivery is scheduled for tomorrow afternoon.,email,0
"BEGIN:VCARD
FN:Student 13
EMAIL:student13@university.edu.np
URL:https://university.edu.np/profile/13
END:VCARD",contact,0
https://city-services.example/docs/1471,url,0
SMSTO:WALLET:URGENT: your bank account is blocked. Verify login now: http://esewa-bonus-claim.test/verify/5047,sms,1
SMSTO:+977-9868638880:The invoice has been received and marked paid.,sms,0
https://coursera.org/receipt/1128,url,0
mailto:noreply@hospital.org.np?subject=Library book reminder&body=Thank you for your payment. No further action is required.,email,0
mailto:verify@esewa-bonus-claim.test?subject=Unusual login detected&body=Customs fee pending. Pay now to release your parcel,email,1
https://library.example/notice/1026,url,0
SMSTO:+977-9817207367:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
http://bit.ly/claim-prize462,url,1
WIFI:T:WPA;S:CampusGuest115;P:StrongPass1152026;;,wifi,0
http://paypal-security.example.ru/verify-account/2886?session=23405,url,1
"BEGIN:VCARD
FN:Student 51
EMAIL:student51@university.edu.np
URL:https://university.edu.np/profile/51
END:VCARD",contact,0
mailto:noreply@mozilla.org?subject=Project status summary&body=Class starts tomorrow. Please bring your notebook.,email,0
WIFI:T:WPA;S:CampusGuest111;P:StrongPass1112026;;,wifi,0
http://google-login.example.net/pay-fee/2977?session=41760,url,1
mailto:verify@wallet-kyc-alert.test?subject=Prize claim pending&body=URGENT: your bank account is blocked. Verify login now,email,1
https://store-receipts.example/help/1279,url,0
http://192.168.45.12/verify-account/2333?session=75481,url,1
WIFI:T:WPA;S:CampusGuest34;P:StrongPass342026;;,wifi,0
"BEGIN:VCARD
FN:Student 32
EMAIL:student32@university.edu.np
URL:https://university.edu.np/profile/32
END:VCARD",contact,0
http://wallet-kyc-alert.test/wallet-kyc/2984?session=40603,url,1
mailto:reward@bank-support-update.test?subject=Unusual login detected&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
WIFI:T:WPA;S:CampusGuest90;P:StrongPass902026;;,wifi,0
https://company-intranet.example/status/1286,url,0
SMSTO:BANKALERT:URGENT: your bank account is blocked. Verify login now: http://wallet-kyc-alert.test/verify/5615,sms,1
https://secure-login-check.test/verify-account/2128?session=70686,url,1
mailto:support@esewa-bonus-claim.test?subject=Urgent account verification required&body=Refund failed. Enter card details to receive money,email,1
"SMSTO:BANKALERT:Congratulations, you won a cash prize. Claim reward immediately: http://khalti-refund.test/verify/5632",sms,1
SMSTO:+977-9846939031:Your OTP is 123456. Do not share it with anyone.,sms,0
https://paypal-security.example.ru/claim-prize/2865?session=27709,url,1
https://university.edu.np/profile/1338,url,0
SMSTO:+977-9890110065:Thank you for your payment. No further action is required.,sms,0
http://wallet-kyc-alert.test/claim-prize/2443?session=41194,url,1
https://google-login.example.net/verify-account/2117?session=98181,url,1
https://library.example/help/1730,url,0
https://ird.gov.np/course/1539,url,0
SMSTO:+977-9849274257:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
https://city-services.example/help/1419,url,0
"BEGIN:VCARD
FN:Student 21
EMAIL:student21@university.edu.np
URL:https://university.edu.np/profile/21
END:VCARD",contact,0
mailto:verify@wallet-kyc-alert.test?subject=Your wallet is blocked&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
SMSTO:BANKALERT:Security alert. Update password within 24 hours: http://paypal-security.example.ru/verify/5457,sms,1
WIFI:T:WPA;S:CampusGuest101;P:StrongPass1012026;;,wifi,0
SMSTO:+977-9800000000:Security alert. Update password within 24 hours: http://secure-login-check.test/verify/5248,sms,1
SMSTO:+977-9832779572:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
SMSTO:+977-9843907858:The invoice has been received and marked paid.,sms,0
http://bit.ly/claim-prize588,url,1
http://10.8.4.22/pay-fee/2701?session=48096,url,1
"BEGIN:VCARD
FN:Student 119
EMAIL:student119@university.edu.np
URL:https://university.edu.np/profile/119
END:VCARD",contact,0
WIFI:T:WPA;S:CampusGuest73;P:StrongPass732026;;,wifi,0
mailto:verify@10.8.4.22?subject=Unusual login detected&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
SMSTO:+977-9880064547:Your delivery is scheduled for tomorrow afternoon.,sms,0
mailto:admin@coursera.org?subject=Library book reminder&body=Your appointment is confirmed for Friday at 10:00 AM.,email,0
SMSTO:+977-9800000000:KYC expired. Confirm wallet PIN and OTP to continue: http://delivery-fee-pay.test/verify/5729,sms,1
mailto:noreply@store-receipts.example?subject=Monthly statement is available&body=Your delivery is scheduled for tomorrow afternoon.,email,0
SMSTO:WALLET:Customs fee pending. Pay now to release your parcel: http://192.168.45.12/verify/5422,sms,1
https://coursera.org/docs/1369,url,0
mailto:support@company-intranet.example?subject=Course update&body=Class starts tomorrow. Please bring your notebook.,email,0
WIFI:T:WPA;S:CampusGuest3;P:StrongPass32026;;,wifi,0
http://wallet-kyc-alert.test/pay-fee/2195?session=84277,url,1
https://company-intranet.example/receipt/1726,url,0
http://bit.ly/login-update546,url,1
SMSTO:BANKALERT:KYC expired. Confirm wallet PIN and OTP to continue: http://khalti-refund.test/verify/5678,sms,1
WIFI:T:WPA;S:CampusGuest92;P:StrongPass922026;;,wifi,0
https://wikipedia.org/docs/1236,url,0
https://10.8.4.22/verify-account/2219?session=42990,url,1
SMSTO:+977-9882329391:Your delivery is scheduled for tomorrow afternoon.,sms,0
"BEGIN:VCARD
FN:Student 64
EMAIL:student64@university.edu.np
URL:https://university.edu.np/profile/64
END:VCARD",contact,0
mailto:billing@docs.djangoproject.com?subject=Meeting notes&body=The invoice has been received and marked paid.,email,0
mailto:support@account-verify-now.test?subject=Final warning: confirm your password&body=URGENT: your bank account is blocked. Verify login now,email,1
https://docs.djangoproject.com/receipt/1604,url,0
mailto:admin@nrb.org.np?subject=Monthly statement is available&body=Thank you for your payment. No further action is required.,email,0
https://paypal-security.example.ru/verify-account/2355?session=85582,url,1
SMSTO:+977-9821458649:Your delivery is scheduled for tomorrow afternoon.,sms,0
mailto:noreply@store-receipts.example?subject=Appointment reminder&body=Thank you for your payment. No further action is required.,email,0
mailto:support@wallet-kyc-alert.test?subject=Your wallet is blocked&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
http://bit.ly/claim-prize623,url,1
http://khalti-refund.test/verify-account/2741?session=64344,url,1
"BEGIN:VCARD
FN:Student 44
EMAIL:student44@university.edu.np
URL:https://university.edu.np/profile/44
END:VCARD",contact,0
"BEGIN:VCARD
FN:Student 7
EMAIL:student7@university.edu.np
URL:https://university.edu.np/profile/7
END:VCARD",contact,0
https://np-prize-claim.test/verify-account/2879?session=91962,url,1
https://bank-support-update.test/wallet-kyc/2303?session=52318,url,1
SMSTO:+977-9835414238:Class starts tomorrow. Please bring your notebook.,sms,0
https://10.8.4.22/claim-prize/2285?session=21401,url,1
https://store-receipts.example/receipt/1258,url,0
SMSTO:DELIVERY:Security alert. Update password within 24 hours: http://account-verify-now.test/verify/5451,sms,1
https://np-prize-claim.test/wallet-kyc/2792?session=97773,url,1
"mailto:support@google-login.example.net?subject=Urgent account verification required&body=Congratulations, you won a cash prize. Claim reward immediately",email,1
SMSTO:+977-9831720358:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
mailto:support@secure-login-check.test?subject=Urgent account verification required&body=Customs fee pending. Pay now to release your parcel,email,1
SMSTO:DELIVERY:Refund failed. Enter card details to receive money: http://account-verify-now.test/verify/5981,sms,1
http://bit.ly/login-update770,url,1
mailto:admin@docs.djangoproject.com?subject=Course update&body=Thank you for your payment. No further action is required.,email,0
SMSTO:+977-9842358410:Thank you for your payment. No further action is required.,sms,0
http://np-prize-claim.test/claim-prize/2643?session=18130,url,1
SMSTO:+977-9879767584:Your OTP is 123456. Do not share it with anyone.,sms,0
SMSTO:DELIVERY:Security alert. Update password within 24 hours: http://np-prize-claim.test/verify/5003,sms,1
mailto:billing@library.example?subject=Appointment reminder&body=Thank you for your payment. No further action is required.,email,0
https://company-intranet.example/course/1689,url,0
mailto:verify@192.168.45.12?subject=Prize claim pending&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
mailto:verify@account-verify-now.test?subject=Your wallet is blocked&body=URGENT: your bank account is blocked. Verify login now,email,1
https://store-receipts.example/help/1895,url,0
mailto:verify@np-prize-claim.test?subject=Prize claim pending&body=Refund failed. Enter card details to receive money,email,1
SMSTO:+977-9875646323:Thank you for your payment. No further action is required.,sms,0
SMSTO:BANKALERT:Refund failed. Enter card details to receive money: http://192.168.45.12/verify/5105,sms,1
https://company-intranet.example/course/1250,url,0
https://github.com/help/1353,url,0
https://khanacademy.org/help/1742,url,0
https://khanacademy.org/profile/1255,url,0
SMSTO:+977-9864430657:Your delivery is scheduled for tomorrow afternoon.,sms,0
https://company-intranet.example/notice/1557,url,0
http://paypal-security.example.ru/claim-prize/2827?session=45311,url,1
SMSTO:+977-9881182754:Your OTP is 123456. Do not share it with anyone.,sms,0
https://bank-support-update.test/verify-account/2607?session=68220,url,1
SMSTO:+977-9888593150:The invoice has been received and marked paid.,sms,0
http://delivery-fee-pay.test/claim-prize/2100?session=44282,url,1
SMSTO:WALLET:Refund failed. Enter card details to receive money: http://delivery-fee-pay.test/verify/5577,sms,1
WIFI:T:WPA;S:CampusGuest51;P:StrongPass512026;;,wifi,0
http://secure-login-check.test/claim-prize/2274?session=73518,url,1
mailto:verify@secure-login-check.test?subject=Final warning: confirm your password&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
SMSTO:+977-9857788337:Your OTP is 123456. Do not share it with anyone.,sms,0
SMSTO:BANKALERT:URGENT: your bank account is blocked. Verify login now: http://google-login.example.net/verify/5098,sms,1
mailto:support@hospital.org.np?subject=Project status summary&body=Thank you for your payment. No further action is required.,email,0
mailto:noreply@ird.gov.np?subject=Library book reminder&body=Your delivery is scheduled for tomorrow afternoon.,email,0
http://paypal-security.example.ru/verify-account/2580?session=43540,url,1
WIFI:T:WPA;S:CampusGuest35;P:StrongPass352026;;,wifi,0
https://library.example/status/1540,url,0
SMSTO:+977-9856883986:Thank you for your payment. No further action is required.,sms,0
https://openai.com/profile/1780,url,0
"mailto:support@bank-support-update.test?subject=Unusual login detected&body=Congratulations, you won a cash prize. Claim reward immediately",email,1
https://khalti-refund.test/login-update/2317?session=19283,url,1
mailto:verify@esewa-bonus-claim.test?subject=Final warning: confirm your password&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
mailto:billing@docs.djangoproject.com?subject=Library book reminder&body=Your delivery is scheduled for tomorrow afternoon.,email,0
https://city-services.example/help/1361,url,0
https://mozilla.org/profile/1401,url,0
http://bit.ly/verify-account966,url,1
https://store-receipts.example/notice/1373,url,0
https://mozilla.org/notice/1945,url,0
https://10.8.4.22/claim-prize/2368?session=52899,url,1
mailto:billing@city-services.example?subject=Library book reminder&body=Your appointment is confirmed for Friday at 10:00 AM.,email,0
https://docs.djangoproject.com/status/1532,url,0
mailto:admin@mozilla.org?subject=Password changed successfully&body=The invoice has been received and marked paid.,email,0
SMSTO:WALLET:KYC expired. Confirm wallet PIN and OTP to continue: http://secure-login-check.test/verify/5042,sms,1
WIFI:T:WPA;S:CampusGuest55;P:StrongPass552026;;,wifi,0
mailto:support@np-prize-claim.test?subject=Final warning: confirm your password&body=Refund failed. Enter card details to receive money,email,1
"BEGIN:VCARD
FN:Student 88
EMAIL:student88@university.edu.np
URL:https://university.edu.np/profile/88
END:VCARD",contact,0
mailto:noreply@library.example?subject=Library book reminder&body=Your delivery is scheduled for tomorrow afternoon.,email,0
mailto:support@openai.com?subject=Library book reminder&body=Your appointment is confirmed for Friday at 10:00 AM.,email,0
SMSTO:+977-9838311272:Thank you for your payment. No further action is required.,sms,0
https://khanacademy.org/profile/1295,url,0
WIFI:T:WPA;S:CampusGuest64;P:StrongPass642026;;,wifi,0
SMSTO:+977-9800000000:URGENT: your bank account is blocked. Verify login now: http://secure-login-check.test/verify/5724,sms,1
mailto:billing@nrb.org.np?subject=Project status summary&body=Your delivery is scheduled for tomorrow afternoon.,email,0
WIFI:T:WPA;S:CampusGuest12;P:StrongPass122026;;,wifi,0
SMSTO:+977-9818768924:Your OTP is 123456. Do not share it with anyone.,sms,0
WIFI:T:WPA;S:CampusGuest32;P:StrongPass322026;;,wifi,0
SMSTO:BANKALERT:KYC expired. Confirm wallet PIN and OTP to continue: http://secure-login-check.test/verify/5332,sms,1
WIFI:T:WPA;S:CampusGuest17;P:StrongPass172026;;,wifi,0
WIFI:T:WPA;S:CampusGuest99;P:StrongPass992026;;,wifi,0
mailto:noreply@mozilla.org?subject=Receipt for your recent purchase&body=Your appointment is confirmed for Friday at 10:00 AM.,email,0
mailto:reward@account-verify-now.test?subject=Urgent account verification required&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
mailto:noreply@library.example?subject=Receipt for your recent purchase&body=Thank you for your payment. No further action is required.,email,0
SMSTO:DELIVERY:URGENT: your bank account is blocked. Verify login now: http://google-login.example.net/verify/5526,sms,1
SMSTO:+977-9800000000:Customs fee pending. Pay now to release your parcel: http://paypal-security.example.ru/verify/5338,sms,1
SMSTO:DELIVERY:Refund failed. Enter card details to receive money: http://delivery-fee-pay.test/verify/5369,sms,1
"SMSTO:BANKALERT:Congratulations, you won a cash prize. Claim reward immediately: http://delivery-fee-pay.test/verify/5001",sms,1
"mailto:security@192.168.45.12?subject=Urgent account verification required&body=Congratulations, you won a cash prize. Claim reward immediately",email,1
WIFI:T:WPA;S:CampusGuest88;P:StrongPass882026;;,wifi,0
mailto:noreply@github.com?subject=Meeting notes&body=Class starts tomorrow. Please bring your notebook.,email,0
http://esewa-bonus-claim.test/login-update/2617?session=54742,url,1
WIFI:T:WPA;S:CampusGuest26;P:StrongPass262026;;,wifi,0
https://khanacademy.org/course/1570,url,0
mailto:admin@university.edu.np?subject=Project status summary&body=Thank you for your payment. No further action is required.,email,0
https://nepalbank.com.np/profile/1417,url,0
"BEGIN:VCARD
FN:Student 77
EMAIL:student77@university.edu.np
URL:https://university.edu.np/profile/77
END:VCARD",contact,0
mailto:security@wallet-kyc-alert.test?subject=Final warning: confirm your password&body=Customs fee pending. Pay now to release your parcel,email,1
SMSTO:WALLET:KYC expired. Confirm wallet PIN and OTP to continue: http://192.168.45.12/verify/5895,sms,1
mailto:support@store-receipts.example?subject=Course update&body=Your appointment is confirmed for Friday at 10:00 AM.,email,0
"SMSTO:WALLET:Congratulations, you won a cash prize. Claim reward immediately: http://paypal-security.example.ru/verify/5619",sms,1
mailto:security@khalti-refund.test?subject=Unusual login detected&body=Refund failed. Enter card details to receive money,email,1
mailto:reward@paypal-security.example.ru?subject=Prize claim pending&body=URGENT: your bank account is blocked. Verify login now,email,1
https://nepalbank.com.np/status/1916,url,0
mailto:noreply@khanacademy.org?subject=Library book reminder&body=Thank you for your payment. No further action is required.,email,0
mailto:admin@openai.com?subject=Meeting notes&body=Class starts tomorrow. Please bring your notebook.,email,0
WIFI:T:WPA;S:CampusGuest83;P:StrongPass832026;;,wifi,0
SMSTO:+977-9823228017:The invoice has been received and marked paid.,sms,0
https://company-intranet.example/help/1525,url,0
SMSTO:DELIVERY:Security alert. Update password within 24 hours: http://wallet-kyc-alert.test/verify/5690,sms,1
https://khanacademy.org/course/1443,url,0
SMSTO:+977-9800000000:Security alert. Update password within 24 hours: http://google-login.example.net/verify/5824,sms,1
WIFI:T:WPA;S:CampusGuest69;P:StrongPass692026;;,wifi,0
https://openai.com/status/1747,url,0
mailto:verify@account-verify-now.test?subject=Your wallet is blocked&body=Security alert. Update password within 24 hours,email,1
mailto:reward@bank-support-update.test?subject=Your wallet is blocked&body=Customs fee pending. Pay now to release your parcel,email,1
