sender,subject,message,content,label
support@10.8.4.22,Refund failed: update card now,KYC expired. Confirm wallet PIN and OTP to continue,From: support@10.8.4.22 Subject: Refund failed: update card now KYC expired. Confirm wallet PIN and OTP to continue. Click http://10.8.4.22/verify/4993 and submit password OTP PIN card details.,1
noreply@wikipedia.org,Library book reminder,Your OTP is 123456. Do not share it with anyone.,From: noreply@wikipedia.org Subject: Library book reminder Your OTP is 123456. Do not share it with anyone. Link: https://wikipedia.org/profile/3032,0
noreply@openai.com,Meeting notes,Your appointment is confirmed for Friday at 10:00 AM.,From: noreply@openai.com Subject: Meeting notes Your appointment is confirmed for Friday at 10:00 AM. Link: https://openai.com/receipt/3891,0
support@store-receipts.example,Password changed successfully,The invoice has been received and marked paid.,From: support@store-receipts.example Subject: Password changed successfully The invoice has been received and marked paid. Link: https://store-receipts.example/profile/3334,0
verify@secure-login-check.test,Urgent account verification required,Refund failed. Enter card details to receive money,From: verify@secure-login-check.test Subject: Urgent account verification required Refund failed. Enter card details to receive money. Click http://secure-login-check.test/verify/4159 and submit password OTP PIN card details.,1
reward@192.168.45.12,Unusual login detected,KYC expired. Confirm wallet PIN and OTP to continue,From: reward@192.168.45.12 Subject: Unusual login detected KYC expired. Confirm wallet PIN and OTP to continue. Click http://192.168.45.12/login/4479 and submit password OTP PIN card details.,1
support@company-intranet.example,Meeting notes,Thank you for your payment. No further action is required.,From: support@company-intranet.example Subject: Meeting notes Thank you for your payment. No further action is required. Link: https://company-intranet.example/profile/3426,0
billing@nepalbank.com.np,Monthly statement is available,Thank you for your payment. No further action is required.,From: billing@nepalbank.com.np Subject: Monthly statement is available Thank you for your payment. No further action is required. Link: https://nepalbank.com.np/profile/3997,0
noreply@khanacademy.org,Meeting notes,Your OTP is 123456. Do not share it with anyone.,From: noreply@khanacademy.org Subject: Meeting notes Your OTP is 123456. Do not share it with anyone. Link: https://khanacademy.org/receipt/3862,0
noreply@university.edu.np,Receipt for your recent purchase,Your OTP is 123456. Do not share it with anyone.,From: noreply@university.edu.np Subject: Receipt for your recent purchase Your OTP is 123456. Do not share it with anyone. Link: https://university.edu.np/help/3653,0
reward@google-login.example.net,Your wallet is blocked,"Congratulations, you won a cash prize. Claim reward immediately","From: reward@google-login.example.net Subject: Your wallet is blocked Congratulations, you won a cash prize. Claim reward immediately. Click http://google-login.example.net/login/4862 and submit password OTP PIN card details.",1
support@github.com,Receipt for your recent purchase,Your appointment is confirmed for Friday at 10:00 AM.,From: support@github.com Subject: Receipt for your recent purchase Your appointment is confirmed for Friday at 10:00 AM. Link: https://github.com/help/3800,0
billing@wikipedia.org,Project status summary,Your delivery is scheduled for tomorrow afternoon.,From: billing@wikipedia.org Subject: Project status summary Your delivery is scheduled for tomorrow afternoon. Link: https://wikipedia.org/help/3380,0
admin@nrb.org.np,Library book reminder,Your delivery is scheduled for tomorrow afternoon.,From: admin@nrb.org.np Subject: Library book reminder Your delivery is scheduled for tomorrow afternoon. Link: https://nrb.org.np/help/3107,0
noreply@nepalbank.com.np,Meeting notes,Thank you for your payment. No further action is required.,From: noreply@nepalbank.com.np Subject: Meeting notes Thank you for your payment. No further action is required. Link: https://nepalbank.com.np/profile/3269,0
noreply@store-receipts.example,Appointment reminder,Class starts tomorrow. Please bring your notebook.,From: noreply@store-receipts.example Subject: Appointment reminder Class starts tomorrow. Please bring your notebook. Link: https://store-receipts.example/help/3668,0
verify@account-verify-now.test,Your wallet is blocked,Security alert. Update password within 24 hours,From: verify@account-verify-now.test Subject: Your wallet is blocked Security alert. Update password within 24 hours. Click http://account-verify-now.test/verify/4505 and submit password OTP PIN card details.,1
support@wallet-kyc-alert.test,Unusual login detected,Refund failed. Enter card details to receive money,From: support@wallet-kyc-alert.test Subject: Unusual login detected Refund failed. Enter card details to receive money. Click http://wallet-kyc-alert.test/login/4749 and submit password OTP PIN card details.,1
security@wallet-kyc-alert.test,Final warning: confirm your password,Customs fee pending. Pay now to release your parcel,From: security@wallet-kyc-alert.test Subject: Final warning: confirm your password Customs fee pending. Pay now to release your parcel. Click http://wallet-kyc-alert.test/claim/4112 and submit password OTP PIN card details.,1
support@np-prize-claim.test,Final warning: confirm your password,Refund failed. Enter card details to receive money,From: support@np-prize-claim.test Subject: Final warning: confirm your password Refund failed. Enter card details to receive money. Click http://np-prize-claim.test/claim/4426 and submit password OTP PIN card details.,1
reward@khalti-refund.test,Urgent account verification required,URGENT: your bank account is blocked. Verify login now,From: reward@khalti-refund.test Subject: Urgent account verification required URGENT: your bank account is blocked. Verify login now. Click http://khalti-refund.test/login/4729 and submit password OTP PIN card details.,1
support@esewa-bonus-claim.test,Urgent account verification required,Refund failed. Enter card details to receive money,From: support@esewa-bonus-claim.test Subject: Urgent account verification required Refund failed. Enter card details to receive money. Click http://esewa-bonus-claim.test/login/4476 and submit password OTP PIN card details.,1
verify@paypal-security.example.ru,Prize claim pending,Security alert. Update password within 24 hours,From: verify@paypal-security.example.ru Subject: Prize claim pending Security alert. Update password within 24 hours. Click http://paypal-security.example.ru/verify/4260 and submit password OTP PIN card details.,1
support@esewa-bonus-claim.test,Your wallet is blocked,Customs fee pending. Pay now to release your parcel,From: support@esewa-bonus-claim.test Subject: Your wallet is blocked Customs fee pending. Pay now to release your parcel. Click http://esewa-bonus-claim.test/login/4382 and submit password OTP PIN card details.,1
support@secure-login-check.test,Final warning: confirm your password,Security alert. Update password within 24 hours,From: support@secure-login-check.test Subject: Final warning: confirm your password Security alert. Update password within 24 hours. Click http://secure-login-check.test/login/4676 and submit password OTP PIN card details.,1
reward@bank-support-update.test,Your wallet is blocked,Customs fee pending. Pay now to release your parcel,From: reward@bank-support-update.test Subject: Your wallet is blocked Customs fee pending. Pay now to release your parcel. Click http://bank-support-update.test/verify/4342 and submit password OTP PIN card details.,1
verify@wallet-kyc-alert.test,Final warning: confirm your password,"Congratulations, you won a cash prize. Claim reward immediately","From: verify@wallet-kyc-alert.test Subject: Final warning: confirm your password Congratulations, you won a cash prize. Claim reward immediately. Click http://wallet-kyc-alert.test/login/4567 and submit password OTP PIN card details.",1
noreply@library.example,Receipt for your recent purchase,Thank you for your payment. No further action is required.,From: noreply@library.example Subject: Receipt for your recent purchase Thank you for your payment. No further action is required. Link: https://library.example/profile/3782,0
support@khalti-refund.test,Urgent account verification required,KYC expired. Confirm wallet PIN and OTP to continue,From: support@khalti-refund.test Subject: Urgent account verification required KYC expired. Confirm wallet PIN and OTP to continue. Click http://khalti-refund.test/login/4967 and submit password OTP PIN card details.,1
reward@khalti-refund.test,Unusual login detected,"Congratulations, you won a cash prize. Claim reward immediately","From: reward@khalti-refund.test Subject: Unusual login detected Congratulations, you won a cash prize. Claim reward immediately. Click http://khalti-refund.test/login/4268 and submit password OTP PIN card details.",1
noreply@coursera.org,Meeting notes,Your appointment is confirmed for Friday at 10:00 AM.,From: noreply@coursera.org Subject: Meeting notes Your appointment is confirmed for Friday at 10:00 AM. Link: https://coursera.org/receipt/3918,0
reward@delivery-fee-pay.test,Refund failed: update card now,Security alert. Update password within 24 hours,From: reward@delivery-fee-pay.test Subject: Refund failed: update card now Security alert. Update password within 24 hours. Click http://delivery-fee-pay.test/login/4261 and submit password OTP PIN card details.,1
verify@secure-login-check.test,Urgent account verification required,Security alert. Update password within 24 hours,From: verify@secure-login-check.test Subject: Urgent account verification required Security alert. Update password within 24 hours. Click http://secure-login-check.test/verify/4824 and submit password OTP PIN card details.,1
verify@secure-login-check.test,Urgent account verification required,Customs fee pending. Pay now to release your parcel,From: verify@secure-login-check.test Subject: Urgent account verification required Customs fee pending. Pay now to release your parcel. Click http://secure-login-check.test/login/4818 and submit password OTP PIN card details.,1
verify@wallet-kyc-alert.test,Urgent account verification required,Customs fee pending. Pay now to release your parcel,From: verify@wallet-kyc-alert.test Subject: Urgent account verification required Customs fee pending. Pay now to release your parcel. Click http://wallet-kyc-alert.test/verify/4081 and submit password OTP PIN card details.,1
billing@docs.djangoproject.com,Meeting notes,Class starts tomorrow. Please bring your notebook.,From: billing@docs.djangoproject.com Subject: Meeting notes Class starts tomorrow. Please bring your notebook. Link: https://docs.djangoproject.com/help/3435,0
verify@google-login.example.net,Refund failed: update card now,"Congratulations, you won a cash prize. Claim reward immediately","From: verify@google-login.example.net Subject: Refund failed: update card now Congratulations, you won a cash prize. Claim reward immediately. Click http://google-login.example.net/verify/4070 and submit password OTP PIN card details.",1
noreply@nepalbank.com.np,Library book reminder,Thank you for your payment. No further action is required.,From: noreply@nepalbank.com.np Subject: Library book reminder Thank you for your payment. No further action is required. Link: https://nepalbank.com.np/help/3786,0
admin@company-intranet.example,Password changed successfully,Your appointment is confirmed for Friday at 10:00 AM.,From: admin@company-intranet.example Subject: Password changed successfully Your appointment is confirmed for Friday at 10:00 AM. Link: https://company-intranet.example/receipt/3180,0
noreply@store-receipts.example,Course update,The invoice has been received and marked paid.,From: noreply@store-receipts.example Subject: Course update The invoice has been received and marked paid. Link: https://store-receipts.example/profile/3958,0
support@mozilla.org,Meeting notes,Your delivery is scheduled for tomorrow afternoon.,From: support@mozilla.org Subject: Meeting notes Your delivery is scheduled for tomorrow afternoon. Link: https://mozilla.org/receipt/3733,0
billing@ird.gov.np,Monthly statement is available,Your appointment is confirmed for Friday at 10:00 AM.,From: billing@ird.gov.np Subject: Monthly statement is available Your appointment is confirmed for Friday at 10:00 AM. Link: https://ird.gov.np/help/3485,0
admin@docs.djangoproject.com,Password changed successfully,Your OTP is 123456. Do not share it with anyone.,From: admin@docs.djangoproject.com Subject: Password changed successfully Your OTP is 123456. Do not share it with anyone. Link: https://docs.djangoproject.com/help/3113,0
billing@city-services.example,Receipt for your recent purchase,The invoice has been received and marked paid.,From: billing@city-services.example Subject: Receipt for your recent purchase The invoice has been received and marked paid. Link: https://city-services.example/help/3454,0
admin@mozilla.org,Password changed successfully,The invoice has been received and marked paid.,From: admin@mozilla.org Subject: Password changed successfully The invoice has been received and marked paid. Link: https://mozilla.org/receipt/3012,0
admin@hospital.org.np,Monthly statement is available,Your appointment is confirmed for Friday at 10:00 AM.,From: admin@hospital.org.np Subject: Monthly statement is available Your appointment is confirmed for Friday at 10:00 AM. Link: https://hospital.org.np/receipt/3655,0
verify@wallet-kyc-alert.test,Your wallet is blocked,KYC expired. Confirm wallet PIN and OTP to continue,From: verify@wallet-kyc-alert.test Subject: Your wallet is blocked KYC expired. Confirm wallet PIN and OTP to continue. Click http://wallet-kyc-alert.test/login/4263 and submit password OTP PIN card details.,1
noreply@university.edu.np,Receipt for your recent purchase,Your delivery is scheduled for tomorrow afternoon.,From: noreply@university.edu.np Subject: Receipt for your recent purchase Your delivery is scheduled for tomorrow afternoon. Link: https://university.edu.np/profile/3758,0
admin@docs.djangoproject.com,Course update,Thank you for your payment. No further action is required.,From: admin@docs.djangoproject.com Subject: Course update Thank you for your payment. No further action is required. Link: https://docs.djangoproject.com/help/3896,0
verify@secure-login-check.test,Prize claim pending,KYC expired. Confirm wallet PIN and OTP to continue,From: verify@secure-login-check.test Subject: Prize claim pending KYC expired. Confirm wallet PIN and OTP to continue. Click http://secure-login-check.test/verify/4949 and submit password OTP PIN card details.,1
verify@10.8.4.22,Your wallet is blocked,Customs fee pending. Pay now to release your parcel,From: verify@10.8.4.22 Subject: Your wallet is blocked Customs fee pending. Pay now to release your parcel. Click http://10.8.4.22/claim/4654 and submit password OTP PIN card details.,1
billing@github.com,Course update,Your delivery is scheduled for tomorrow afternoon.,From: billing@github.com Subject: Course update Your delivery is scheduled for tomorrow afternoon. Link: https://github.com/help/3999,0
support@company-intranet.example,Course update,Your appointment is confirmed for Friday at 10:00 AM.,From: support@company-intranet.example Subject: Course update Your appointment is confirmed for Friday at 10:00 AM. Link: https://company-intranet.example/receipt/3069,0
support@wallet-kyc-alert.test,Prize claim pending,KYC expired. Confirm wallet PIN and OTP to continue,From: support@wallet-kyc-alert.test Subject: Prize claim pending KYC expired. Confirm wallet PIN and OTP to continue. Click http://wallet-kyc-alert.test/verify/4146 and submit password OTP PIN card details.,1
support@delivery-fee-pay.test,Refund failed: update card now,Security alert. Update password within 24 hours,From: support@delivery-fee-pay.test Subject: Refund failed: update card now Security alert. Update password within 24 hours. Click http://delivery-fee-pay.test/login/4827 and submit password OTP PIN card details.,1
admin@university.edu.np,Project status summary,Thank you for your payment. No further action is required.,From: admin@university.edu.np Subject: Project status summary Thank you for your payment. No further action is required. Link: https://university.edu.np/receipt/3644,0
support@khalti-refund.test,Refund failed: update card now,Customs fee pending. Pay now to release your parcel,From: support@khalti-refund.test Subject: Refund failed: update card now Customs fee pending. Pay now to release your parcel. Click http://khalti-refund.test/verify/4172 and submit password OTP PIN card details.,1
verify@np-prize-claim.test,Final warning: confirm your password,Refund failed. Enter card details to receive money,From: verify@np-prize-claim.test Subject: Final warning: confirm your password Refund failed. Enter card details to receive money. Click http://np-prize-claim.test/login/4179 and submit password OTP PIN card details.,1
support@10.8.4.22,Final warning: confirm your password,Refund failed. Enter card details to receive money,From: support@10.8.4.22 Subject: Final warning: confirm your password Refund failed. Enter card details to receive money. Click http://10.8.4.22/verify/4997 and submit password OTP PIN card details.,1
noreply@store-receipts.example,Monthly statement is available,Your delivery is scheduled for tomorrow afternoon.,From: noreply@store-receipts.example Subject: Monthly statement is available Your delivery is scheduled for tomorrow afternoon. Link: https://store-receipts.example/help/3266,0
security@192.168.45.12,Your wallet is blocked,Security alert. Update password within 24 hours,From: security@192.168.45.12 Subject: Your wallet is blocked Security alert. Update password within 24 hours. Click http://192.168.45.12/verify/4438 and submit password OTP PIN card details.,1
reward@paypal-security.example.ru,Urgent account verification required,Refund failed. Enter card details to receive money,From: reward@paypal-security.example.ru Subject: Urgent account verification required Refund failed. Enter card details to receive money. Click http://paypal-security.example.ru/claim/4839 and submit password OTP PIN card details.,1
reward@secure-login-check.test,Final warning: confirm your password,Customs fee pending. Pay now to release your parcel,From: reward@secure-login-check.test Subject: Final warning: confirm your password Customs fee pending. Pay now to release your parcel. Click http://secure-login-check.test/verify/4029 and submit password OTP PIN card details.,1
verify@np-prize-claim.test,Your wallet is blocked,KYC expired. Confirm wallet PIN and OTP to continue,From: verify@np-prize-claim.test Subject: Your wallet is blocked KYC expired. Confirm wallet PIN and OTP to continue. Click http://np-prize-claim.test/login/4980 and submit password OTP PIN card details.,1
support@wallet-kyc-alert.test,Your wallet is blocked,KYC expired. Confirm wallet PIN and OTP to continue,From: support@wallet-kyc-alert.test Subject: Your wallet is blocked KYC expired. Confirm wallet PIN and OTP to continue. Click http://wallet-kyc-alert.test/claim/4723 and submit password OTP PIN card details.,1
noreply@library.example,Monthly statement is available,Class starts tomorrow. Please bring your notebook.,From: noreply@library.example Subject: Monthly statement is available Class starts tomorrow. Please bring your notebook. Link: https://library.example/receipt/3656,0
verify@bank-support-update.test,Prize claim pending,Refund failed. Enter card details to receive money,From: verify@bank-support-update.test Subject: Prize claim pending Refund failed. Enter card details to receive money. Click http://bank-support-update.test/verify/4681 and submit password OTP PIN card details.,1
billing@city-services.example,Meeting notes,Your appointment is confirmed for Friday at 10:00 AM.,From: billing@city-services.example Subject: Meeting notes Your appointment is confirmed for Friday at 10:00 AM. Link: https://city-services.example/receipt/3632,0
verify@bank-support-update.test,Urgent account verification required,URGENT: your bank account is blocked. Verify login now,From: verify@bank-support-update.test Subject: Urgent account verification required URGENT: your bank account is blocked. Verify login now. Click http://bank-support-update.test/login/4187 and submit password OTP PIN card details.,1
noreply@company-intranet.example,Meeting notes,Your appointment is confirmed for Friday at 10:00 AM.,From: noreply@company-intranet.example Subject: Meeting notes Your appointment is confirmed for Friday at 10:00 AM. Link: https://company-intranet.example/help/3708,0
support@10.8.4.22,Refund failed: update card now,Refund failed. Enter card details to receive money,From: support@10.8.4.22 Subject: Refund failed: update card now Refund failed. Enter card details to receive money. Click http://10.8.4.22/login/4936 and submit password OTP PIN card details.,1
reward@delivery-fee-pay.test,Your wallet is blocked,KYC expired. Confirm wallet PIN and OTP to continue,From: reward@delivery-fee-pay.test Subject: Your wallet is blocked KYC expired. Confirm wallet PIN and OTP to continue. Click http://delivery-fee-pay.test/verify/4297 and submit password OTP PIN card details.,1
noreply@ird.gov.np,Password changed successfully,Thank you for your payment. No further action is required.,From: noreply@ird.gov.np Subject: Password changed successfully Thank you for your payment. No further action is required. Link: https://ird.gov.np/help/3065,0
admin@ird.gov.np,Project status summary,Your OTP is 123456. Do not share it with anyone.,From: admin@ird.gov.np Subject: Project status summary Your OTP is 123456. Do not share it with anyone. Link: https://ird.gov.np/receipt/3584,0
support@wallet-kyc-alert.test,Refund failed: update card now,Refund failed. Enter card details to receive money,From: support@wallet-kyc-alert.test Subject: Refund failed: update card now Refund failed. Enter card details to receive money. Click http://wallet-kyc-alert.test/claim/4756 and submit password OTP PIN card details.,1
security@192.168.45.12,Your wallet is blocked,"Congratulations, you won a cash prize. Claim reward immediately","From: security@192.168.45.12 Subject: Your wallet is blocked Congratulations, you won a cash prize. Claim reward immediately. Click http://192.168.45.12/claim/4914 and submit password OTP PIN card details.",1
reward@wallet-kyc-alert.test,Unusual login detected,KYC expired. Confirm wallet PIN and OTP to continue,From: reward@wallet-kyc-alert.test Subject: Unusual login detected KYC expired. Confirm wallet PIN and OTP to continue. Click http://wallet-kyc-alert.test/login/4648 and submit password OTP PIN card details.,1
noreply@khanacademy.org,Library book reminder,Thank you for your payment. No further action is required.,From: noreply@khanacademy.org Subject: Library book reminder Thank you for your payment. No further action is required. Link: https://khanacademy.org/help/3405,0
noreply@openai.com,Receipt for your recent purchase,Your delivery is scheduled for tomorrow afternoon.,From: noreply@openai.com Subject: Receipt for your recent purchase Your delivery is scheduled for tomorrow afternoon. Link: https://openai.com/receipt/3544,0
security@10.8.4.22,Unusual login detected,Security alert. Update password within 24 hours,From: security@10.8.4.22 Subject: Unusual login detected Security alert. Update password within 24 hours. Click http://10.8.4.22/verify/4875 and submit password OTP PIN card details.,1
admin@coursera.org,Library book reminder,Your appointment is confirmed for Friday at 10:00 AM.,From: admin@coursera.org Subject: Library book reminder Your appointment is confirmed for Friday at 10:00 AM. Link: https://coursera.org/receipt/3925,0
billing@ird.gov.np,Meeting notes,Thank you for your payment. No further action is required.,From: billing@ird.gov.np Subject: Meeting notes Thank you for your payment. No further action is required. Link: https://ird.gov.np/profile/3036,0
support@hospital.org.np,Course update,Thank you for your payment. No further action is required.,From: support@hospital.org.np Subject: Course update Thank you for your payment. No further action is required. Link: https://hospital.org.np/receipt/3353,0
verify@np-prize-claim.test,Your wallet is blocked,"Congratulations, you won a cash prize. Claim reward immediately","From: verify@np-prize-claim.test Subject: Your wallet is blocked Congratulations, you won a cash prize. Claim reward immediately. Click http://np-prize-claim.test/login/4222 and submit password OTP PIN card details.",1
noreply@mozilla.org,Monthly statement is available,Class starts tomorrow. Please bring your notebook.,From: noreply@mozilla.org Subject: Monthly statement is available Class starts tomorrow. Please bring your notebook. Link: https://mozilla.org/help/3953,0
billing@library.example,Appointment reminder,Thank you for your payment. No further action is required.,From: billing@library.example Subject: Appointment reminder Thank you for your payment. No further action is required. Link: https://library.example/profile/3283,0
billing@city-services.example,Library book reminder,Your appointment is confirmed for Friday at 10:00 AM.,From: billing@city-services.example Subject: Library book reminder Your appointment is confirmed for Friday at 10:00 AM. Link: https://city-services.example/help/3812,0
security@esewa-bonus-claim.test,Refund failed: update card now,URGENT: your bank account is blocked. Verify login now,From: security@esewa-bonus-claim.test Subject: Refund failed: update card now URGENT: your bank account is blocked. Verify login now. Click http://esewa-bonus-claim.test/verify/4433 and submit password OTP PIN card details.,1
verify@khalti-refund.test,Refund failed: update card now,Refund failed. Enter card details to receive money,From: verify@khalti-refund.test Subject: Refund failed: update card now Refund failed. Enter card details to receive money. Click http://khalti-refund.test/verify/4513 and submit password OTP PIN card details.,1
billing@university.edu.np,Course update,Thank you for your payment. No further action is required.,From: billing@university.edu.np Subject: Course update Thank you for your payment. No further action is required. Link: https://university.edu.np/help/3581,0
billing@university.edu.np,Receipt for your recent purchase,Class starts tomorrow. Please bring your notebook.,From: billing@university.edu.np Subject: Receipt for your recent purchase Class starts tomorrow. Please bring your notebook. Link: https://university.edu.np/help/3741,0
security@esewa-bonus-claim.test,Refund failed: update card now,"Congratulations, you won a cash prize. Claim reward immediately","From: security@esewa-bonus-claim.test Subject: Refund failed: update card now Congratulations, you won a cash prize. Claim reward immediately. Click http://esewa-bonus-claim.test/verify/4394 and submit password OTP PIN card details.",1
support@bank-support-update.test,Unusual login detected,"Congratulations, you won a cash prize. Claim reward immediately","From: support@bank-support-update.test Subject: Unusual login detected Congratulations, you won a cash prize. Claim reward immediately. Click http://bank-support-update.test/login/4674 and submit password OTP PIN card details.",1
reward@delivery-fee-pay.test,Unusual login detected,KYC expired. Confirm wallet PIN and OTP to continue,From: reward@delivery-fee-pay.test Subject: Unusual login detected KYC expired. Confirm wallet PIN and OTP to continue. Click http://delivery-fee-pay.test/claim/4424 and submit password OTP PIN card details.,1
noreply@openai.com,Meeting notes,Your delivery is scheduled for tomorrow afternoon.,From: noreply@openai.com Subject: Meeting notes Your delivery is scheduled for tomorrow afternoon. Link: https://openai.com/help/3667,0
noreply@store-receipts.example,Monthly statement is available,The invoice has been received and marked paid.,From: noreply@store-receipts.example Subject: Monthly statement is available The invoice has been received and marked paid. Link: https://store-receipts.example/receipt/3868,0
billing@github.com,Password changed successfully,Class starts tomorrow. Please bring your notebook.,From: billing@github.com Subject: Password changed successfully Class starts tomorrow. Please bring your notebook. Link: https://github.com/receipt/3195,0
billing@khanacademy.org,Password changed successfully,The invoice has been received and marked paid.,From: billing@khanacademy.org Subject: Password changed successfully The invoice has been received and marked paid. Link: https://khanacademy.org/receipt/3959,0
security@esewa-bonus-claim.test,Prize claim pending,Refund failed. Enter card details to receive money,From: security@esewa-bonus-claim.test Subject: Prize claim pending Refund failed. Enter card details to receive money. Click http://esewa-bonus-claim.test/verify/4876 and submit password OTP PIN card details.,1
noreply@hospital.org.np,Library book reminder,Thank you for your payment. No further action is required.,From: noreply@hospital.org.np Subject: Library book reminder Thank you for your payment. No further action is required. Link: https://hospital.org.np/profile/3256,0
reward@google-login.example.net,Prize claim pending,Refund failed. Enter card details to receive money,From: reward@google-login.example.net Subject: Prize claim pending Refund failed. Enter card details to receive money. Click http://google-login.example.net/verify/4992 and submit password OTP PIN card details.,1
verify@google-login.example.net,Prize claim pending,Customs fee pending. Pay now to release your parcel,From: verify@google-login.example.net Subject: Prize claim pending Customs fee pending. Pay now to release your parcel. Click http://google-login.example.net/verify/4387 and submit password OTP PIN card details.,1
reward@192.168.45.12,Your wallet is blocked,URGENT: your bank account is blocked. Verify login now,From: reward@192.168.45.12 Subject: Your wallet is blocked URGENT: your bank account is blocked. Verify login now. Click http://192.168.45.12/verify/4370 and submit password OTP PIN card details.,1
support@mozilla.org,Library book reminder,Your delivery is scheduled for tomorrow afternoon.,From: support@mozilla.org Subject: Library book reminder Your delivery is scheduled for tomorrow afternoon. Link: https://mozilla.org/receipt/3648,0
security@paypal-security.example.ru,Refund failed: update card now,Customs fee pending. Pay now to release your parcel,From: security@paypal-security.example.ru Subject: Refund failed: update card now Customs fee pending. Pay now to release your parcel. Click http://paypal-security.example.ru/verify/4236 and submit password OTP PIN card details.,1
admin@wikipedia.org,Monthly statement is available,The invoice has been received and marked paid.,From: admin@wikipedia.org Subject: Monthly statement is available The invoice has been received and marked paid. Link: https://wikipedia.org/receipt/3647,0
admin@coursera.org,Meeting notes,Your OTP is 123456. Do not share it with anyone.,From: admin@coursera.org Subject: Meeting notes Your OTP is 123456. Do not share it with anyone. Link: https://coursera.org/profile/3747,0
support@google-login.example.net,Final warning: confirm your password,Security alert. Update password within 24 hours,From: support@google-login.example.net Subject: Final warning: confirm your password Security alert. Update password within 24 hours. Click http://google-login.example.net/login/4132 and submit password OTP PIN card details.,1
noreply@library.example,Password changed successfully,Class starts tomorrow. Please bring your notebook.,From: noreply@library.example Subject: Password changed successfully Class starts tomorrow. Please bring your notebook. Link: https://library.example/help/3669,0
billing@city-services.example,Course update,The invoice has been received and marked paid.,From: billing@city-services.example Subject: Course update The invoice has been received and marked paid. Link: https://city-services.example/profile/3077,0
support@bank-support-update.test,Prize claim pending,Customs fee pending. Pay now to release your parcel,From: support@bank-support-update.test Subject: Prize claim pending Customs fee pending. Pay now to release your parcel. Click http://bank-support-update.test/verify/4998 and submit password OTP PIN card details.,1
verify@secure-login-check.test,Final warning: confirm your password,KYC expired. Confirm wallet PIN and OTP to continue,From: verify@secure-login-check.test Subject: Final warning: confirm your password KYC expired. Confirm wallet PIN and OTP to continue. Click http://secure-login-check.test/verify/4665 and submit password OTP PIN card details.,1
security@secure-login-check.test,Final warning: confirm your password,Customs fee pending. Pay now to release your parcel,From: security@secure-login-check.test Subject: Final warning: confirm your password Customs fee pending. Pay now to release your parcel. Click http://secure-login-check.test/verify/4503 and submit password OTP PIN card details.,1
